target,friend
15,70
15,74
15,50
15,29
15,76
15,77
15,64
15,32
15,5
15,40
40,15
40,76
40,11
40,60
10,71
10,36
10,30
69,29
69,1
69,26
69,14
69,72
69,21
19,29
19,13
9,29
9,42
9,71
9,22
9,31
9,61
9,21
29,15
29,1
29,9
29,19
29,34
29,69
29,13
29,58
29,37
29,14
18,15
18,56
18,19
18,48
18,13
18,43
18,45
18,68
18,32
18,39
18,20
18,3
16,23
16,3
16,14
16,72
17,2
49,63
49,71
49,43
49,64
49,33
33,49
57,70
57,15
57,35
57,68
57,64
57,26
24,23
24,7
24,67
24,35
24,36
24,26
24,3
67,24
67,27
67,77
67,58
67,30
67,5
67,73
67,38
67,54
3,23
3,24
3,76
3,78
3,31
3,16
3,32
3,39
3,54
3,72
3,28
60,11
60,69
60,67
60,68
60,40
60,54
47,8
47,34
47,64
70,15
70,76
70,13
70,68
70,64
70,57
31,9
31,78
31,79
31,71
31,20
31,21
31,28
56,15
56,29
56,18
56,71
56,26
56,53
56,5
56,38
36,15
36,24
36,27
36,62
36,71
36,35
36,51
36,64
36,39
36,75
36,10
36,65
1,29
1,69
1,71
1,14
22,74
22,46
22,76
22,48
22,27
22,37
22,30
22,3
22,73
22,38
22,54
61,9
61,26
61,32
61,54
61,21
30,9
30,56
30,27
30,71
30,67
30,22
30,10
30,72
79,15
79,76
79,48
79,78
79,17
79,77
79,2
79,64
79,28
23,24
23,3
78,79
78,31
78,28
5,15
5,67
5,17
5,77
5,2
5,58
5,54
71,1
71,9
71,49
71,51
71,43
71,31
71,64
71,57
71,55
71,30
71,20
71,10
71,21
34,29
34,8
34,13
34,47
38,74
38,56
38,46
38,48
38,67
38,22
38,77
38,68
38,5
2,15
2,50
2,49
2,17
2,77
2,57
2,73
2,25
2,40
2,72
14,29
14,1
14,69
14,16
14,72
59,45
59,28
45,70
45,15
45,29
45,76
45,49
45,78
45,67
45,41
45,59
45,37
45,57
45,73
45,40
45,38
42,29
42,9
42,35
42,58
42,55
42,72
73,74
73,56
73,46
73,48
73,22
73,2
73,55
73,39
39,35
39,73
35,24
35,42
35,48
35,7
35,36
35,31
35,58
35,64
35,57
35,32
35,39
35,53
35,72
55,50
55,46
55,42
55,71
55,17
55,68
55,73
55,72
46,74
46,48
46,27
46,22
46,68
46,55
46,73
46,12
46,38
21,1
21,9
21,69
21,31
21,61
21,53
21,14
21,28
76,70
76,15
76,79
76,22
76,54
28,78
28,79
28,31
28,59
28,3
68,70
68,15
68,46
68,27
68,78
68,18
68,52
68,64
68,57
68,55
68,20
68,38
68,60
72,15
72,1
72,16
72,55
72,20
72,3
11,62
11,41
11,40
11,60
54,44
54,8
54,76
54,61
54,26
54,39
54,5
54,3
54,60
64,70
64,15
64,63
64,57
64,47
44,15
44,29
44,32
44,3
44,54
27,46
27,23
27,76
27,79
27,67
27,36
27,22
27,61
27,38
75,36
75,41
75,59
75,52
75,58
75,37
75,10
75,60
58,29
58,42
58,7
58,67
58,35
58,41
58,37
58,5
58,75
58,25
58,65
43,71
43,13
65,58
32,15
32,44
32,37
32,61
52,44
52,36
52,75
13,70
13,6
13,29
13,7
13,18
13,34
13,43
13,16
13,64
12,6
12,46
20,15
20,29
20,71
20,31
20,72
25,44
25,2
25,58
50,15
50,74
50,19
50,48
50,21
77,15
77,74
77,48
77,78
77,43
77,30
77,5
77,38
53,56
53,18
53,62
53,35
53,55
6,13
74,70
74,15
74,50
74,46
74,48
74,22
74,77
74,73
74,38
48,74
48,50
48,46
48,35
48,22
48,77
48,64
48,73
48,38
37,41
37,58
37,75
37,25
51,50
51,19
51,27
51,36
66,50
66,42
66,12
4,8
4,49
4,27
4,34
4,71
4,43
4,61
4,39
4,73
4,72
